id,name,visibility,is_corporate,is_external,categories
144444,Marknadsgruppen,hidden,false,false,Undergrupp till Station
144446,Ledningsgrupp,hidden,false,false,Undergrupp till Station
144447,Lite mer avspänt!,hidden,false,false,Undergrupp till Station
144448,RS Sundsvall - Alvik,hidden,false,false,
144450,Rsc Kreab,hidden,false,false,
144453,Befälhavare,hidden,false,false,Undergrupp till Station
144454,Skeppare,hidden,false,false,Undergrupp till Station
144457,Skeppare,hidden,false,false,Undergrupp till Station
144458,City - RS Sundsvall,hidden,false,false,
144460,Båtgruppen,hidden,false,false,Undergrupp till Station
144461,Enhetsgrupp,hidden,false,false,Undergrupp till Station
144462,Elever,hidden,false,false,Undergrupp till Station
144463,Skeppare - RS Söderhamn,hidden,false,false,
144464,Stationsledning  - RS Söderhamn,hidden,false,false,
144465,Utbildning & Övning  - RS Söderhamn,hidden,false,false,
144466,Underhåll  - RS Söderhamn,hidden,false,false,
144467,Roberts undergrupp,hidden,false,false,
144468,Snackgrupp,hidden,false,false,Undergrupp till Station
144470,Rescue Hans Carlsson,hidden,false,false,Undergrupp till Station
144471,Rescue Odd Fellow,hidden,false,false,Undergrupp till Station
144482,Nåttarö Jourgrupp,hidden,false,false,Undergrupp till Station
144483,Torö Jourgrupp,hidden,false,false,Undergrupp till Station
144484,Lisö Jourgrupp,hidden,false,false,Undergrupp till Station
144485,Muskö Jourgrupp,hidden,false,false,Undergrupp till Station
144487,Båtgrupp RS Hörvik,hidden,false,false,
144488,RS Luleå Utrustning,hidden,false,false,Undergrupp till Station
144489,Miljöräddningssläp Västerås,hidden,false,false,Undergrupp till Station
144490,Rescue Torbjörn,hidden,false,false,Undergrupp till Station
144491,Båtgruppen,hidden,false,false,
144492,Befälhavare,hidden,false,false,
144493,Båtarna,hidden,false,false,Undergrupp till Station
144494,Test RS Värmdö,hidden,false,false,
144495,Rsc Ångfartygsbefälhavareföreningen,hidden,false,false,
144496,Stationsledning Grötvik,hidden,false,false,
144502,Stationsledning RS Hörvik,hidden,false,false,
144504,🛟Befälhavare,hidden,false,false,Undergrupp till Station
144505,Skeppare RS Hörvik,hidden,false,false,
144761,Skeppare RS Södertälje,hidden,false,false,Undergrupp till Station
144771,Bilder & Filmer - RS Uppsala,hidden,false,false,Undergrupp till Station
144773,Skeppargruppen,hidden,false,false,Undergrupp till Station
144775,Elever,hidden,false,false,Undergrupp till Station
144779,Utbildningsgruppen,hidden,false,false,Undergrupp till Station
144780,Elever,hidden,false,false,Undergrupp till Station
144792,Husgruppen,hidden,false,false,
144800,Skeppare,hidden,false,false,
145077,Skeppare,hidden,false,false,Undergrupp till Station
145078,RS Sundsvall - Enheter och bryggor,hidden,false,false,Undergrupp till Station
145079,Båtar,hidden,false,false,
145338,Skeppare RS Bergkvara,hidden,false,false,
145339,Stationshus,hidden,false,false,Undergrupp till Station
145340,Svävarjour,hidden,false,false,Undergrupp till Station
145342,Rsc Sten och Laila,hidden,false,false,Undergrupp till Station
145347,Bilder & Filmer Rs Skellefteå,hidden,false,false,Undergrupp till Station
145356,Rescue Ulla Brita,hidden,false,false,Undergrupp till Station
145369,🛟 Händelser,hidden,false,false,Undergrupp till Station
145374,Rescue Ulla Karin,hidden,false,false,Undergrupp till Station
145384,Runn,hidden,false,false,Undergrupp till Station
145385,Siljan,hidden,false,false,Undergrupp till Station
145386,Barken,hidden,false,false,Undergrupp till Station
145390,Skeppare,hidden,false,false,Undergrupp till Station
145392,Stationsansvariga,hidden,false,false,
145394,Maritima avdelningen,hidden,false,false,
145401,Båt & Teknik RS Södertälje,hidden,false,false,Undergrupp till Station
145403,Testa och Lära,hidden,false,false,Undergrupp till Station
145404,Rsc William Eriksson,hidden,false,false,Undergrupp till Station
145405,Rsc Volvo penta,hidden,false,false,Undergrupp till Station
145406,Rsc Drottning Silvia,hidden,false,false,Undergrupp till Station
145407,Befälhavare RS Trelleborg,hidden,false,false,Undergrupp till Station
145416,Befälhavare RS Stenungsund,hidden,false,false,Undergrupp till Station
145417,Utbildningsgruppen RS Stenungsund,hidden,false,false,Undergrupp till Station
145418,Elevgruppen,hidden,false,false,
145420,Båtar Rs Skellefteå,hidden,false,false,
145421,Stationshus Rs Skellefteå,hidden,false,false,
145709,Befälhavare/Skeppare,hidden,false,false,
145710,Teknik,hidden,false,false,
145719,Fastigheter,hidden,false,false,Undergrupp till Station
145720,Viktig Information,hidden,false,false,Undergrupp till Station
145721,Jungfrusunds brygga,hidden,false,false,Undergrupp till Station
145723,Stationsledning RS Hammarö,hidden,false,false,
145724,Munsö brygga,hidden,false,false,Undergrupp till Station
145725,Karlskärs brygga,hidden,false,false,Undergrupp till Station
145726,Piteå Bryggan,hidden,false,false,Undergrupp till Station
145727,Jour RS Arkösund,hidden,false,false,
145728,Publicera gruppen RS Arkösund,hidden,false,false,
145729,FIP RS Arkösund,hidden,false,false,
145730,Instruktörer,hidden,false,false,Undergrupp till Station
145731,Operativastödet & bryggkoodinatorer,hidden,false,false,Undergrupp till Station
145732,"Bilder, uppdrag och övningar RS Öregrund",hidden,false,false,Undergrupp till Station
145733,Off-topic,hidden,false,false,Undergrupp till Station
145738,Sjöräddningsdag RS Arkösund,hidden,false,false,
145866,Ledningsgrupp,hidden,false,false,Undergrupp till Station
145870,Elev,hidden,false,false,Undergrupp till Station
145871,Rsc Björn Sjökvist,hidden,false,false,Undergrupp till Station
145872,Viktig information,hidden,false,false,Undergrupp till Station
145873,Off Topic,hidden,false,false,Undergrupp till Station
145874,Uppdragserfarenheter,hidden,false,false,
145875,Bilder & Filmer,hidden,false,false,
145878,Skepparegruppen,hidden,false,false,Undergrupp till Station
145879,Bildgalleri RS Siljan/Runn,hidden,false,false,Undergrupp till Station
145880,RS Stenungsund Stationsledning,hidden,false,false,Undergrupp till Station
145881,1:e Skeppare,hidden,false,false,Undergrupp till Station
145882,Jour grupp 1,hidden,false,false,Undergrupp till Station
145884,Jour grupp 2,hidden,false,false,Undergrupp till Station
145886,Jour grupp 3,hidden,false,false,Undergrupp till Station
145888,Jour grupp 4,hidden,false,false,Undergrupp till Station
145889,Rescue Västerfjärden,hidden,false,false,Undergrupp till Station
145891,Jour grupp 5,hidden,false,false,Undergrupp till Station
145892,Flytande Stationshuset,hidden,false,false,
145893,Jour grupp 6,hidden,false,false,Undergrupp till Station
145894,Stationshuset Vinön,hidden,false,false,Undergrupp till Station
145895,Rescue 930,hidden,false,false,Undergrupp till Station
145896,Rescue Smulle Svävare,hidden,false,false,Undergrupp till Station
145897,Rescue Hjälmaren 90E,hidden,false,false,Undergrupp till Station
145899,Jourlag 2,hidden,false,false,Undergrupp till Station
145900,Jourlag 3,hidden,false,false,Undergrupp till Station
145901,Skeppare,hidden,false,false,Undergrupp till Station
145902,Jourlag 1,hidden,false,false,Undergrupp till Station
145904,🛟 Svävare,hidden,false,false,
146244,Skeppare RS Gävle,hidden,false,false,Undergrupp till Station
146247,Första Hjälpen RS Gävle,hidden,false,false,
146248,Elever RS Gävle,hidden,false,false,Undergrupp till Station
146249,Bilder & Filmer RS Visby,hidden,false,false,Undergrupp till Station
146250,Ledning RS Gävle,hidden,false,false,
146251,Greta Dybeck,hidden,false,false,Undergrupp till Station
146252,Magnhild Ekman,hidden,false,false,Undergrupp till Station
146263,WV-support!,hidden,false,false,
146268,Samverkan Öresund (Torekov-Ystad),public,false,false,Samverkansgrupper
146271,Svävargruppen,hidden,false,false,Undergrupp till Station
146272,Stationshus-gruppen,hidden,false,false,Undergrupp till Station
146277,Ledningsgruppen,hidden,false,false,Undergrupp till Station
146279,Utbildningsgruppen,hidden,false,false,Undergrupp till Station
146280,Kommunikation & Insamlingsgruppen,hidden,false,false,Undergrupp till Station
146299,Karlskronabryggan,hidden,false,false,Undergrupp till Station
146300,RS Hasslö - SAR Summit 2026,hidden,false,false,Undergrupp till Station
146301,Aspirantgrupp RS Visby,hidden,false,false,
146313,Information om och styrning av nytt Stationshus,hidden,false,false,Undergrupp till Station
146322,Ledningsgruppen,hidden,false,false,Undergrupp till Station
146364,Öppet forum för stationen,hidden,false,false,Undergrupp till Station
146372,Skeppare,hidden,false,false,Undergrupp till Station
146376,Stationsanställda,hidden,false,false,
